Name,Num,Guesses
Rhyperior,3,Castform; Donphan; Rhyperior
Tangrowth,3,Castform; Carracosta; Tangrowth
Electivire,3,Castform; Magmortar; Electivire
Magmortar,2,Castform; Magmortar
Togekiss,4,Castform; Sigilyph; Glimmora; Togekiss
Yanmega,3,Castform; Hisuian Samurott; Yanmega
Leafeon,3,Castform; Hisuian Qwilfish; Leafeon
Glaceon,3,Castform; Wormadam Plant Cloak; Glaceon
Gliscor,3,Castform; Ceruledge; Gliscor
Mamoswine,2,Castform; Mamoswine
Porygon-Z,3,Castform; Enamorus Incarnate Forme; Porygon-Z
Gallade,3,Castform; Togedemaru; Gallade
Mega Gallade,3,Castform; Lopunny; Mega Gallade
Probopass,3,Castform; Wormadam Plant Cloak; Probopass
Dusknoir,3,Castform; Marowak; Dusknoir
Froslass,3,Castform; Lucario; Froslass
Rotom,3,Castform; Heat Rotom; Rotom
Heat Rotom,2,Castform; Heat Rotom
Wash Rotom,3,Castform; Heat Rotom; Wash Rotom
Frost Rotom,4,Castform; Heat Rotom; Wash Rotom; Frost Rotom
Fan Rotom,5,Castform; Heat Rotom; Wash Rotom; Frost Rotom; Fan Rotom
Mow Rotom,6,Castform; Heat Rotom; Wash Rotom; Frost Rotom; Fan Rotom; Mow Rotom
Uxie,3,Castform; Mew; Uxie
Mesprit,4,Castform; Mew; Mega Altaria; Mesprit
Azelf,3,Castform; Blaziken; Azelf
Dialga,3,Castform; Mew; Dialga
Dialga Origin Forme,3,Castform; Mew; Dialga Origin Forme
Palkia,3,Castform; Mew; Palkia
Palkia Origin Forme,3,Castform; Mew; Palkia Origin Forme
Heatran,3,Castform; Mew; Heatran
Regigigas,3,Castform; Mew; Regigigas
Giratina Altered Forme,3,Castform; Mew; Giratina Altered Forme
Giratina Origin Forme,3,Castform; Mew; Giratina Origin Forme
Cresselia,2,Castform; Cresselia
Phione,4,Castform; Mew; Glalie; Phione
Manaphy,5,Castform; Mew; Celebi; Jirachi; Manaphy
Darkrai,2,Castform; Darkrai
Shaymin Land Forme,6,Castform; Mew; Celebi; Jirachi; Manaphy; Shaymin Land Forme
Shaymin Sky Forme,3,Castform; Mew; Shaymin Sky Forme
Arceus,3,Castform; Mew; Arceus
Victini,7,Castform; Mew; Celebi; Jirachi; Manaphy; Shaymin Land Forme; Victini
Snivy,3,Castform; Ditto; Snivy
Servine,2,Castform; Servine
Serperior,3,Castform; Mew; Serperior
Tepig,3,Castform; Ditto; Tepig
Pignite,2,Castform; Pignite
Emboar,3,Castform; Seviper; Emboar
Oshawott,4,Castform; Ditto; Numel; Oshawott
Dewott,3,Castform; Seviper; Dewott
Samurott,2,Castform; Samurott
Hisuian Samurott,2,Castform; Hisuian Samurott
Patrat,3,Castform; Ditto; Patrat
Watchog,3,Castform; Fletchinder; Watchog
Lillipup,4,Castform; Ditto; Fletchling; Lillipup
Herdier,3,Castform; Karrablast; Herdier
Stoutland,3,Castform; Ceruledge; Stoutland
Purrloin,3,Castform; Ditto; Purrloin
Liepard,4,Castform; Boltund; Torracat; Liepard
Pansage,3,Castform; Ditto; Pansage
Simisage,2,Castform; Simisage
Pansear,4,Castform; Ditto; Pansage; Pansear
Simisear,3,Castform; Simisage; Simisear
Panpour,5,Castform; Ditto; Pansage; Pansear; Panpour
Simipour,4,Castform; Simisage; Simisear; Simipour
Munna,3,Castform; Shellos; Munna
Musharna,3,Castform; Bellibolt; Musharna
Pidove,4,Castform; Ditto; Chewtle; Pidove
Tranquill,3,Castform; Karrablast; Tranquill
Unfezant,3,Castform; Revavroom; Unfezant
Blitzle,4,Castform; Poliwag; Buizel; Blitzle
Zebstrika,3,Castform; Simisage; Zebstrika
Roggenrola,4,Castform; Tyrunt; Alolan Geodude; Roggenrola
Boldore,3,Castform; Perrserker; Boldore
Gigalith,3,Castform; Gourgeist Super Size; Gigalith
Woobat,4,Castform; Poliwag; Skiploom; Woobat
Swoobat,3,Castform; Frogadier; Swoobat
Drilbur,3,Castform; Karrablast; Drilbur
Excadrill,3,Castform; Zangoose; Excadrill
Audino,2,Castform; Audino
Mega Audino,3,Castform; Bellibolt; Mega Audino
Timburr,3,Castform; Cufant; Timburr
Gurdurr,4,Castform; Donphan; Rhyhorn; Gurdurr
Conkeldurr,3,Castform; Donphan; Conkeldurr
Tympole,4,Castform; Ditto; Quaxly; Tympole
Palpitoad,3,Castform; Shellos; Palpitoad
Seismitoad,3,Castform; Mew; Seismitoad
Throh,3,Castform; Gourgeist Super Size; Throh
Sawk,3,Castform; Ceruledge; Sawk
Sewaddle,3,Castform; Pumpkaboo Average Size; Sewaddle
Swadloon,3,Castform; Galarian Corsola; Swadloon
Leavanny,3,Castform; Iron Leaves; Leavanny
Venipede,3,Castform; Ditto; Venipede
Whirlipede,3,Castform; Galarian Corsola; Whirlipede
Scolipede,3,Castform; Hisuian Qwilfish; Scolipede
Cottonee,4,Castform; Ditto; Snivy; Cottonee
Whimsicott,3,Castform; Heat Rotom; Whimsicott
Petilil,2,Castform; Petilil
Lilligant,2,Castform; Lilligant
Hisuian Lilligant,4,Castform; Bombirdier; Scyther; Hisuian Lilligant
Basculin,3,Castform; Galvantula; Basculin
Sandile,3,Castform; Karrablast; Sandile
Krokorok,4,Castform; Fletchinder; Trumbeak; Krokorok
Krookodile,4,Castform; Tauros; Mabosstiff; Krookodile
Darumaka,3,Castform; Rufflet; Darumaka
Galarian Darumaka,4,Castform; Rufflet; Darumaka; Galarian Darumaka
Darmanitan Standard Mode,3,Castform; Zangoose; Darmanitan Standard Mode
Darmanitan Zen Mode,3,Castform; Bellibolt; Darmanitan Zen Mode
Darmanitan Galarian Standard Mode,4,Castform; Zangoose; Darmanitan Standard Mode; Darmanitan Galarian Standard Mode
Darmanitan Galarian Zen Mode,4,Castform; Zangoose; Darmanitan Standard Mode; Darmanitan Galarian Zen Mode
Maractus,3,Castform; Seviper; Maractus
Dwebble,3,Castform; Cubone; Dwebble
Crustle,2,Castform; Crustle
Scraggy,2,Castform; Scraggy
Scrafty,3,Castform; Marowak; Scrafty
Sigilyph,2,Castform; Sigilyph
Yamask,3,Castform; Cubone; Yamask
Galarian Yamask,4,Castform; Cubone; Beldum; Galarian Yamask
Cofagrigus,3,Castform; Wormadam Plant Cloak; Cofagrigus
Tirtouga,3,Castform; Tyrunt; Tirtouga
Carracosta,2,Castform; Carracosta
Archen,2,Castform; Archen
Archeops,3,Castform; Simisage; Archeops
Trubbish,3,Castform; Ditto; Trubbish
Garbodor,3,Castform; Ceruledge; Garbodor
Zorua,3,Castform; Poltchageist; Zorua
Hisuian Zorua,2,Castform; Hisuian Zorua
Zoroark,3,Castform; Boltund; Zoroark
Hisuian Zoroark,4,Castform; Boltund; Zoroark; Hisuian Zoroark
Minccino,3,Castform; Poliwag; Minccino
Cinccino,3,Castform; Zangoose; Cinccino
Gothita,3,Castform; Ditto; Gothita
Gothorita,3,Castform; Gloom; Gothorita
Gothitelle,2,Castform; Gothitelle
Solosis,3,Castform; Poltchageist; Solosis
Duosion,3,Castform; Poltchageist; Duosion
Reuniclus,3,Castform; Bellibolt; Reuniclus
Ducklett,3,Castform; Ditto; Ducklett
Swanna,3,Castform; Simisage; Swanna
Vanillite,4,Castform; Ditto; Bulbasaur; Vanillite
Vanillish,3,Castform; Prinplup; Vanillish
Vanilluxe,4,Castform; Mew; Hisuian Typhlosion; Vanilluxe
Deerling,3,Castform; Poliwag; Deerling
Sawsbuck,2,Castform; Sawsbuck
Emolga,3,Castform; Boltund; Emolga
Karrablast,2,Castform; Karrablast
Escavalier,3,Castform; Crustle; Escavalier
Foongus,3,Castform; Ditto; Foongus
Amoonguss,3,Castform; Hypno; Amoonguss
Frillish,3,Castform; Flabébé; Frillish
Jellicent,2,Castform; Jellicent
Alomomola,3,Castform; Donphan; Alomomola
Joltik,3,Castform; Ditto; Joltik
Galvantula,2,Castform; Galvantula
Ferroseed,4,Castform; Galarian Corsola; Bronzor; Ferroseed
Ferrothorn,3,Castform; Gourgeist Super Size; Ferrothorn
Klink,3,Castform; Pumpkaboo Average Size; Klink
Klang,2,Castform; Klang
Klinklang,2,Castform; Klinklang
Tynamo,4,Castform; Ditto; Fletchling; Tynamo
Eelektrik,2,Castform; Eelektrik
Eelektross,3,Castform; Type: Null; Eelektross
Elgyem,4,Castform; Poltchageist; Oddish; Elgyem
Beheeyem,3,Castform; Type: Null; Beheeyem
Litwick,3,Castform; Ditto; Litwick
Lampent,3,Castform; Poltchageist; Lampent
Chandelure,3,Castform; Heat Rotom; Chandelure
Axew,3,Castform; Karrablast; Axew
Fraxure,2,Castform; Fraxure
Haxorus,4,Castform; Tauros; Mabosstiff; Haxorus
Cubchoo,3,Castform; Mudkip; Cubchoo
Beartic,3,Castform; Grapploct; Beartic
Cryogonal,3,Castform; Volcarona; Cryogonal
Shelmet,3,Castform; Cubone; Shelmet
Accelgor,2,Castform; Accelgor
Stunfisk,3,Castform; Bellibolt; Stunfisk
Galarian Stunfisk,3,Castform; Gourgeist Super Size; Galarian Stunfisk
Mienfoo,3,Castform; Karrablast; Mienfoo
Mienshao,4,Castform; Boltund; Zoroark; Mienshao
Druddigon,3,Castform; Gourgeist Super Size; Druddigon
Golett,3,Castform; Karrablast; Golett
Golurk,4,Castform; Gourgeist Super Size; Bouffalant; Golurk
Pawniard,3,Castform; Fraxure; Pawniard
Bisharp,2,Castform; Bisharp
Bouffalant,3,Castform; Gourgeist Super Size; Bouffalant
Rufflet,2,Castform; Rufflet
Braviary,4,Castform; Ceruledge; Lycanroc Midnight Form; Braviary
Hisuian Braviary,3,Castform; Farigiraf; Hisuian Braviary
Vullaby,2,Castform; Vullaby
Mandibuzz,2,Castform; Mandibuzz
Heatmor,3,Castform; Seviper; Heatmor
Durant,3,Castform; Hisuian Qwilfish; Durant
Deino,4,Castform; Ditto; Larvitar; Deino
Zweilous,2,Castform; Zweilous
Hydreigon,3,Castform; Mew; Hydreigon
Larvesta,3,Castform; Karrablast; Larvesta
Volcarona,2,Castform; Volcarona
Cobalion,3,Castform; Mew; Cobalion
Terrakion,4,Castform; Mew; Marshadow; Terrakion
Virizion,3,Castform; Mew; Virizion
Tornadus Incarnate Forme,3,Castform; Enamorus Incarnate Forme; Tornadus Incarnate Forme
Tornadus Therian Forme,3,Castform; Mew; Tornadus Therian Forme
Thundurus Incarnate Forme,4,Castform; Enamorus Incarnate Forme; Tornadus Incarnate Forme; Thundurus Incarnate Forme
Thundurus Therian Forme,3,Castform; Enamorus Incarnate Forme; Thundurus Therian Forme
Reshiram,3,Castform; Mew; Reshiram
Zekrom,4,Castform; Mew; Dialga; Zekrom
Landorus Incarnate Forme,3,Castform; Mew; Landorus Incarnate Forme
Landorus Therian Forme,4,Castform; Mew; Hydreigon; Landorus Therian Forme
Kyurem,4,Castform; Mew; Yveltal; Kyurem
White Kyurem,3,Castform; Mew; White Kyurem
Black Kyurem,3,Castform; Mew; Black Kyurem
Keldeo,4,Castform; Mew; Sandy Shocks; Keldeo
Meloetta Aria Forme,3,Castform; Mew; Meloetta Aria Forme
Meloetta Pirouette Forme,3,Castform; Mew; Meloetta Pirouette Forme
Genesect,4,Castform; Mew; Hydreigon; Genesect
Chespin,3,Castform; Ditto; Chespin
Quilladin,3,Castform; Tyrunt; Quilladin
Chesnaught,3,Castform; Type: Null; Chesnaught
Fennekin,4,Castform; Ditto; Vulpix; Fennekin
Braixen,3,Castform; Ribombee; Braixen
Delphox,3,Castform; Sigilyph; Delphox
Froakie,3,Castform; Poliwag; Froakie
Frogadier,2,Castform; Frogadier
Greninja,3,Castform; Magmortar; Greninja
Bunnelby,3,Castform; Ditto; Bunnelby
Diggersby,3,Castform; Mandibuzz; Diggersby
Fletchling,3,Castform; Ditto; Fletchling
Fletchinder,2,Castform; Fletchinder
Talonflame,3,Castform; Hisuian Samurott; Talonflame
Scatterbug,4,Castform; Ditto; Cosmog; Scatterbug
Spewpa,3,Castform; Ditto; Spewpa
Vivillon,2,Castform; Vivillon
Litleo,3,Castform; Frogadier; Litleo
Pyroar,2,Castform; Pyroar
Flabébé,2,Castform; Flabébé
Floette,4,Castform; Prinplup; Ivysaur; Floette
Florges,3,Castform; Volcarona; Florges
Skiddo,3,Castform; Ditto; Skiddo
Gogoat,3,Castform; Exploud; Gogoat
Pancham,4,Castform; Karrablast; Teddiursa; Pancham
Pangoro,3,Castform; Gourgeist Super Size; Pangoro
Furfrou,3,Castform; Aerodactyl; Furfrou
Espurr,3,Castform; Ditto; Espurr
Meowstic Male,3,Castform; Sigilyph; Meowstic Male
Meowstic Female,4,Castform; Sigilyph; Meowstic Male; Meowstic Female
Honedge,4,Castform; Tyrunt; Alolan Geodude; Honedge
Doublade,3,Castform; Tyrunt; Doublade
Aegislash Shield Forme,3,Castform; Galarian Corsola; Aegislash Shield Forme
Aegislash Blade Forme,3,Castform; Weepinbell; Aegislash Blade Forme
Spritzee,3,Castform; Shellos; Spritzee
Aromatisse,3,Castform; Type: Null; Aromatisse
Swirlix,4,Castform; Ditto; Espurr; Swirlix
Slurpuff,4,Castform; Mew; Glalie; Slurpuff
Inkay,4,Castform; Ditto; Chewtle; Inkay
Malamar,3,Castform; Ceruledge; Malamar
Mega Malamar,3,Castform; Mew; Mega Malamar
Binacle,3,Castform; Ditto; Binacle
Barbaracle,3,Castform; Gourgeist Super Size; Barbaracle
Skrelp,4,Castform; Ditto; Piplup; Skrelp
Dragalge,3,Castform; Spiritomb; Dragalge
Clauncher,4,Castform; Ditto; Piplup; Clauncher
Clawitzer,3,Castform; Type: Null; Clawitzer
Helioptile,3,Castform; Wattrel; Helioptile
Heliolisk,3,Castform; Mismagius; Heliolisk
Tyrunt,2,Castform; Tyrunt
Tyrantrum,3,Castform; Revavroom; Tyrantrum
Amaura,3,Castform; Shellos; Amaura
Aurorus,4,Castform; Type: Null; Aromatisse; Aurorus
Sylveon,3,Castform; Vaporeon; Sylveon
Hawlucha,3,Castform; Hisuian Samurott; Hawlucha
Mega Hawlucha,3,Castform; Mew; Mega Hawlucha
Dedenne,4,Castform; Frogadier; Alolan Persian; Dedenne
Carbink,4,Castform; Galarian Corsola; Cosmoem; Carbink
Goomy,3,Castform; Flabébé; Goomy
Sliggoo,3,Castform; Flareon; Sliggoo
Hisuian Sliggoo,3,Castform; Spiritomb; Hisuian Sliggoo
Goodra,3,Castform; Enamorus Incarnate Forme; Goodra
Hisuian Goodra,3,Castform; Type: Null; Hisuian Goodra
Klefki,3,Castform; Mega Medicham; Klefki
Phantump,3,Castform; Mudkip; Phantump
Trevenant,3,Castform; Gourgeist Super Size; Trevenant
Pumpkaboo Average Size,2,Castform; Pumpkaboo Average Size
Pumpkaboo Small Size,3,Castform; Pumpkaboo Average Size; Pumpkaboo Small Size
Pumpkaboo Large Size,3,Castform; Pumpkaboo Average Size; Pumpkaboo Large Size
Pumpkaboo Super Size,4,Castform; Pumpkaboo Average Size; Pumpkaboo Large Size; Pumpkaboo Super Size
Gourgeist Average Size,3,Castform; Lopunny; Gourgeist Average Size
Gourgeist Small Size,3,Castform; Lopunny; Gourgeist Small Size
Gourgeist Large Size,3,Castform; Gourgeist Super Size; Gourgeist Large Size
Gourgeist Super Size,2,Castform; Gourgeist Super Size
Bergmite,3,Castform; Cubone; Bergmite
Avalugg,3,Castform; Donphan; Avalugg
Hisuian Avalugg,4,Castform; Donphan; Rhyperior; Hisuian Avalugg
Noibat,4,Castform; Ditto; Bunnelby; Noibat
Noivern,3,Castform; Cresselia; Noivern
Xerneas,4,Castform; Mew; Yveltal; Xerneas
Yveltal,3,Castform; Mew; Yveltal
Zygarde 50% Forme,4,Castform; Mew; Zygarde Complete Forme; Zygarde 50% Forme
Zygarde 10% Forme,3,Castform; Lopunny; Zygarde 10% Forme
Zygarde Complete Forme,3,Castform; Mew; Zygarde Complete Forme
Diancie,3,Castform; Spiritomb; Diancie
Mega Diancie,3,Castform; Mega Medicham; Mega Diancie
Hoopa Confined,2,Castform; Hoopa Confined
Hoopa Unbound,3,Castform; Magmortar; Hoopa Unbound
Volcanion,3,Castform; Decidueye; Volcanion
Rowlet,4,Castform; Ditto; Piplup; Rowlet
Dartrix,2,Castform; Dartrix
Decidueye,2,Castform; Decidueye
Hisuian Decidueye,3,Castform; Type: Null; Hisuian Decidueye
Litten,3,Castform; Wattrel; Litten
Torracat,3,Castform; Boltund; Torracat
Incineroar,3,Castform; Type: Null; Incineroar
Popplio,4,Castform; Ditto; Piplup; Popplio
Brionne,3,Castform; Prinplup; Brionne
Primarina,4,Castform; Type: Null; Empoleon; Primarina
Pikipek,3,Castform; Karrablast; Pikipek
Trumbeak,3,Castform; Fletchinder; Trumbeak
Toucannon,3,Castform; Type: Null; Toucannon
Yungoos,4,Castform; Mudkip; Riolu; Yungoos
Gumshoos,3,Castform; Cufant; Gumshoos
Grubbin,4,Castform; Ditto; Charcadet; Grubbin
Charjabug,3,Castform; Marowak; Charjabug
Vikavolt,3,Castform; Clefable; Vikavolt
Crabrawler,4,Castform; Karrablast; Mienfoo; Crabrawler
Crabominable,3,Castform; Donphan; Crabominable
Oricorio Baile Style,2,Castform; Oricorio Baile Style
Oricorio Pom-Pom Style,3,Castform; Oricorio Baile Style; Oricorio Pom-Pom Style
Oricorio Pa'u Style,4,Castform; Oricorio Baile Style; Oricorio Pom-Pom Style; Oricorio Pa'u Style
Oricorio Sensu Style,5,Castform; Oricorio Baile Style; Oricorio Pom-Pom Style; Oricorio Pa'u Style; Oricorio Sensu Style
Cutiefly,3,Castform; Poliwag; Cutiefly
Ribombee,2,Castform; Ribombee
Rockruff,4,Castform; Ditto; Fletchling; Rockruff
Lycanroc Midday Form,3,Castform; Zangoose; Lycanroc Midday Form
Lycanroc Midnight Form,3,Castform; Ceruledge; Lycanroc Midnight Form
Lycanroc Dusk Form,3,Castform; Zangoose; Lycanroc Dusk Form
Wishiwashi Solo Form,4,Castform; Ditto; Cosmog; Wishiwashi Solo Form
Wishiwashi School Form,3,Castform; Spiritomb; Wishiwashi School Form
Mareanie,4,Castform; Ditto; Larvitar; Mareanie
Toxapex,3,Castform; Galarian Corsola; Toxapex
Mudbray,2,Castform; Mudbray
Mudsdale,4,Castform; Gourgeist Super Size; Ursaluna; Mudsdale
Dewpider,3,Castform; Flabébé; Dewpider
Araquanid,3,Castform; Dusclops; Araquanid
Fomantis,4,Castform; Ditto; Charcadet; Fomantis
Lurantis,3,Castform; Dhelmise; Lurantis
Morelull,3,Castform; Flabébé; Morelull
Shiinotic,3,Castform; Wormadam Plant Cloak; Shiinotic
Salandit,4,Castform; Frogadier; Gimmighoul Roaming Form; Salandit
Salazzle,3,Castform; Frogadier; Salazzle
Stufful,3,Castform; Rufflet; Stufful
Bewear,3,Castform; Donphan; Bewear
Bounsweet,5,Castform; Ditto; Cosmog; Tyrogue; Bounsweet
Steenee,3,Castform; Ditto; Steenee
Tsareena,3,Castform; Ceruledge; Tsareena
Comfey,3,Castform; Heat Rotom; Comfey
Oranguru,3,Castform; Bellibolt; Oranguru
Passimian,3,Castform; Revavroom; Passimian
Wimpod,3,Castform; Poliwag; Wimpod
Golisopod,3,Castform; Gourgeist Super Size; Golisopod
Sandygast,2,Castform; Sandygast
Palossand,3,Castform; Type: Null; Palossand
Pyukumuku,3,Castform; Galarian Corsola; Pyukumuku
Type: Null,2,Castform; Type: Null
Silvally,4,Castform; Mew; Glalie; Silvally
Minior Meteor Form,3,Castform; Galarian Corsola; Minior Meteor Form
Minior Core Form,4,Castform; Boltund; Zoroark; Minior Core Form
Komala,3,Castform; Flareon; Komala
Turtonator,3,Castform; Spiritomb; Turtonator
Togedemaru,2,Castform; Togedemaru
Mimikyu,4,Castform; Lopunny; Hitmonchan; Mimikyu
Bruxish,2,Castform; Bruxish
Drampa,3,Castform; Bellibolt; Drampa
Dhelmise,2,Castform; Dhelmise
Jangmo-o,3,Castform; Ditto; Jangmo-o
Hakamo-o,2,Castform; Hakamo-o
Kommo-o,3,Castform; Mew; Kommo-o
Tapu Koko,3,Castform; Darkrai; Tapu Koko
Tapu Lele,3,Castform; Darkrai; Tapu Lele
Tapu Bulu,3,Castform; Darkrai; Tapu Bulu
Tapu Fini,3,Castform; Darkrai; Tapu Fini
Cosmog,3,Castform; Ditto; Cosmog
Cosmoem,3,Castform; Galarian Corsola; Cosmoem
Solgaleo,4,Castform; Mew; Mega Garchomp; Solgaleo
Lunala,3,Castform; Mew; Lunala
Nihilego,3,Castform; Volcarona; Nihilego
Buzzwole,4,Castform; Revavroom; Great Tusk; Buzzwole
Pheromosa,3,Castform; Simisage; Pheromosa
Xurkitree,4,Castform; Mew; Hisuian Typhlosion; Xurkitree
Celesteela,3,Castform; Type: Null; Celesteela
Kartana,3,Castform; Hisuian Qwilfish; Kartana
Guzzlord,3,Castform; Seviper; Guzzlord
Necrozma,3,Castform; Mew; Necrozma
Dusk Mane Necrozma,4,Castform; Mew; Mega Altaria; Dusk Mane Necrozma
Dawn Wings Necrozma,4,Castform; Mew; Mega Altaria; Dawn Wings Necrozma
Ultra Necrozma,4,Castform; Mew; Landorus Incarnate Forme; Ultra Necrozma
Magearna,3,Castform; Type: Null; Magearna
Marshadow,3,Castform; Mew; Marshadow
Poipole,3,Castform; Boltund; Poipole
Naganadel,4,Castform; Mew; Sandy Shocks; Naganadel
Stakataka,3,Castform; Marowak; Stakataka
Blacephalon,3,Castform; Electabuzz; Blacephalon
Zeraora,4,Castform; Mew; Landorus Incarnate Forme; Zeraora
Meltan,3,Castform; Ditto; Meltan
Melmetal,3,Castform; Carracosta; Melmetal
Grookey,3,Castform; Ditto; Grookey
Thwackey,2,Castform; Thwackey
Rillaboom,4,Castform; Tauros; Mabosstiff; Rillaboom
Scorbunny,3,Castform; Karrablast; Scorbunny
Raboot,3,Castform; Fletchinder; Raboot
Cinderace,3,Castform; Ceruledge; Cinderace
Sobble,3,Castform; Natu; Sobble
Drizzile,3,Castform; Frogadier; Drizzile
Inteleon,3,Castform; Galvantula; Inteleon
Skwovet,3,Castform; Gulpin; Skwovet
Greedent,3,Castform; Gourgeist Super Size; Greedent
Rookidee,4,Castform; Ditto; Bunnelby; Rookidee
Corvisquire,4,Castform; Poliwag; Stunky; Corvisquire
Corviknight,3,Castform; Gourgeist Super Size; Corviknight
Blipbug,4,Castform; Ditto; Cosmog; Blipbug
Dottler,3,Castform; Galarian Corsola; Dottler
Orbeetle,3,Castform; Heat Rotom; Orbeetle
Nickit,4,Castform; Ditto; Hoppip; Nickit
Thievul,2,Castform; Thievul
Gossifleur,4,Castform; Ditto; Togepi; Gossifleur
Eldegoss,3,Castform; Wormadam Plant Cloak; Eldegoss
Wooloo,3,Castform; Ditto; Wooloo
Dubwool,3,Castform; Ceruledge; Dubwool
Chewtle,3,Castform; Ditto; Chewtle
Drednaw,3,Castform; Revavroom; Drednaw
Yamper,4,Castform; Ditto; Shroomish; Yamper
Boltund,2,Castform; Boltund
Rolycoly,4,Castform; Ditto; Togepi; Rolycoly
Carkol,2,Castform; Carkol
Coalossal,3,Castform; Type: Null; Coalossal
Applin,3,Castform; Cubone; Applin
Flapple,2,Castform; Flapple
Appletun,4,Castform; Type: Null; Aromatisse; Appletun
Silicobra,3,Castform; Cubone; Silicobra
Sandaconda,3,Castform; Tauros; Sandaconda
Cramorant,3,Castform; Sceptile; Cramorant
Arrokuda,4,Castform; Ditto; Fletchling; Arrokuda
Barraskewda,3,Castform; Fletchinder; Barraskewda
Toxel,3,Castform; Ditto; Toxel
Toxtricity Amped Form,3,Castform; Blaziken; Toxtricity Amped Form
Toxtricity Low Key Form,4,Castform; Blaziken; Toxtricity Amped Form; Toxtricity Low Key Form
Sizzlipede,4,Castform; Ditto; Foongus; Sizzlipede
Centiskorch,3,Castform; Exploud; Centiskorch
Clobbopus,4,Castform; Ditto; Piplup; Clobbopus
Grapploct,2,Castform; Grapploct
Sinistea,3,Castform; Poltchageist; Sinistea
Polteageist,3,Castform; Butterfree; Polteageist
Hatenna,4,Castform; Ditto; Cherubi; Hatenna
Hattrem,3,Castform; Prinplup; Hattrem
Hatterene,3,Castform; Spiritomb; Hatterene
Impidimp,4,Castform; Ditto; Electrike; Impidimp
Morgrem,3,Castform; Hisuian Zorua; Morgrem
Grimmsnarl,3,Castform; Exploud; Grimmsnarl
Obstagoon,4,Castform; Ceruledge; Ogerpon; Obstagoon
Perrserker,2,Castform; Perrserker
Cursola,3,Castform; Flareon; Cursola
Sirfetch'd,3,Castform; Marowak; Sirfetch'd
Mr. Rime,3,Castform; Decidueye; Mr. Rime
Runerigus,3,Castform; Marowak; Runerigus
Milcery,4,Castform; Ditto; Cherubi; Milcery
Alcremie,3,Castform; Wormadam Plant Cloak; Alcremie
Falinks,2,Castform; Falinks
Pincurchin,3,Castform; Spiritomb; Pincurchin
Snom,4,Castform; Ditto; Cosmog; Snom
Frosmoth,2,Castform; Frosmoth
Stonjourner,3,Castform; Solrock; Stonjourner
Eiscue Ice Face,3,Castform; Gourgeist Super Size; Eiscue Ice Face
Eiscue Noice Face,2,Castform; Eiscue Noice Face
Indeedee Male,3,Castform; Mismagius; Indeedee Male
Indeedee Female,3,Castform; Thievul; Indeedee Female
Morpeko,2,Castform; Morpeko
Cufant,2,Castform; Cufant
Copperajah,3,Castform; Seviper; Copperajah
Dracozolt,3,Castform; Iron Treads; Dracozolt
Arctozolt,3,Castform; Type: Null; Arctozolt
Dracovish,3,Castform; Iron Leaves; Dracovish
Arctovish,3,Castform; Type: Null; Arctovish
Duraludon,2,Castform; Duraludon
Dreepy,3,Castform; Poliwag; Dreepy
Drakloak,3,Castform; Fletchinder; Drakloak
Dragapult,3,Castform; Mew; Dragapult
Zacian Hero of Many Battles,3,Castform; Mew; Zacian Hero of Many Battles
Zacian Crowned Sword,4,Castform; Mew; Zacian Hero of Many Battles; Zacian Crowned Sword
Zamazenta Hero of Many Battles,4,Castform; Mew; Zacian Hero of Many Battles; Zamazenta Hero of Many Battles
Zamazenta Crowned Shield,4,Castform; Mew; Zacian Hero of Many Battles; Zamazenta Crowned Shield
Eternatus,4,Castform; Mew; Arceus; Eternatus
Kubfu,3,Castform; Fletchinder; Kubfu
Urshifu Single Strike Style,3,Castform; Revavroom; Urshifu Single Strike Style
Urshifu Rapid Strike Style,4,Castform; Revavroom; Urshifu Single Strike Style; Urshifu Rapid Strike Style
Zarude,3,Castform; Iron Leaves; Zarude
Regieleki,3,Castform; Simisage; Regieleki
Regidrago,3,Castform; Simisage; Regidrago
Glastrier,3,Castform; Gourgeist Super Size; Glastrier
Spectrier,3,Castform; Volcarona; Spectrier
Calyrex,3,Castform; Mew; Calyrex
Calyrex Ice Rider,4,Castform; Type: Null; Brute Bonnet; Calyrex Ice Rider
Calyrex Shadow Rider,3,Castform; Mew; Calyrex Shadow Rider
Wyrdeer,3,Castform; Type: Null; Wyrdeer
Kleavor,2,Castform; Kleavor
Ursaluna,3,Castform; Gourgeist Super Size; Ursaluna
Ursaluna Bloodmoon,2,Castform; Ursaluna Bloodmoon
Basculegion Male,3,Castform; Magmortar; Basculegion Male
Basculegion Female,3,Castform; Magmortar; Basculegion Female
Sneasler,3,Castform; Aerodactyl; Sneasler
Overqwil,3,Castform; Revavroom; Overqwil
Enamorus Incarnate Forme,2,Castform; Enamorus Incarnate Forme
Enamorus Therian Forme,3,Castform; Type: Null; Enamorus Therian Forme
Sprigatito,3,Castform; Ditto; Sprigatito
Floragato,4,Castform; Fletchinder; Watchog; Floragato
Meowscarada,3,Castform; Blaziken; Meowscarada
Fuecoco,3,Castform; Ditto; Fuecoco
Crocalor,2,Castform; Crocalor
Skeledirge,3,Castform; Type: Null; Skeledirge
Quaxly,3,Castform; Ditto; Quaxly
Quaxwell,3,Castform; Rufflet; Quaxwell
Quaquaval,3,Castform; Mew; Quaquaval
